OBJECTID,type,subtype,x,y,TAZ
137,6, Government Schools,46.6276346,24.5966044,1076
138,3, Shopping and Services,46.6834687,24.7385568,742
139,3, Shopping and Services,46.7062654,24.7656993,755
140,3, Shopping and Services,46.7062654,24.7656993,755
141,2, Restaurants,46.7710755,24.7203735,136
142,2, Restaurants,46.6783578,24.6765157,870
143,1, Hotels and Furnished Apartments,46.7192684,24.6573314,1194
144,3, Shopping and Services,46.7273634,24.7544495,815
145,3, Shopping and Services,46.7619847,24.7477286,137
146,3, Shopping and Services,46.7683475,24.7516453,137
147,3, Shopping and Services,46.807647,24.7199259,922
148,0, Other,46.8993628,24.7994638,368
149,3, Shopping and Services,46.7847302,24.7049239,354
150,5, Factories,46.799856,24.5946935,401
151,5, Factories,46.7944937,24.5993647,401
152,5, Factories,46.7986691,24.5980531,401
153,2, Restaurants,46.6842681,24.597004,168
154,6, Government Schools,46.7687247,24.7259515,136
155,6, Government Schools,46.7777548,24.710036,914
156,6, Government Schools,46.7112528,24.5575085,387
157,6, Government Schools,46.5495218,24.5863022,1370
158,6, Government Schools,46.5604773,24.588288,1382
159,6, Government Schools,46.6881846,24.5858983,169
160,3, Shopping and Services,46.7526322,24.7419849,912
161,3, Shopping and Services,46.6904849,24.7259027,801
162,5, Factories,46.8047158,24.6399746,378
163,5, Factories,46.8041881,24.6005207,401
164,5, Factories,46.8041926,24.6362021,378
165,3, Shopping and Services,46.6911551,24.7246287,77
166,3, Shopping and Services,46.6911551,24.7246287,77
167,1, Hotels and Furnished Apartments,46.719329,24.6395053,285
168,1, Hotels and Furnished Apartments,46.7194711,24.6432376,287
169,6, Government Schools,46.8834205,24.8136114,368
170,6, Government Schools,46.8902794,24.8126281,368
171,6, Government Schools,46.8117399,24.7092233,356
172,6, Government Schools,46.8287393,24.743004,363
173,6, Government Schools,46.833006,24.7417602,363
174,6, Government Schools,46.8319516,24.7509906,489
175,6, Government Schools,46.8330902,24.7508196,489
176,6, Government Schools,46.8316843,24.7502293,489
177,6, Government Schools,46.8363595,24.7463252,489
178,6, Government Schools,46.8333242,24.7451065,489
179,6, Government Schools,46.8356819,24.7449861,489
180,6, Government Schools,46.8353267,24.7427717,489
181,6, Government Schools,46.8359078,24.7340208,364
182,6, Government Schools,46.851788,24.7223951,1015
183,6, Government Schools,46.8905833,24.8243916,368
184,6, Government Schools,46.6865703,24.6048726,478
185,6, Government Schools,46.6892655,24.6059091,478
186,6, Training Centers,46.69099,24.7062699,845
187,6, Training Centers,46.6910545,24.6865698,877
188,6, Training Centers,46.7078674,24.5618717,387
189,6, Training Centers,46.6945942,24.5720712,1425
190,6, Government Schools,46.6490927,24.740513,664
191,6, Government Schools,46.7816166,24.5781111,394
192,6, Government Schools,46.8521873,24.5660615,403
193,6, Government Schools,46.902193,24.5641353,380
194,6, Government Schools,46.9032429,24.562151,380
195,6, Government Schools,47.0037687,24.4605745,1368
196,6, Government Schools,47.0051821,24.4586877,1368
197,6, Government Schools,46.7664155,24.5948542,1315
198,6, Government Schools,46.7740242,24.5929311,1325
199,6, Government Schools,46.7675312,24.5962263,1315
200,6, Government Schools,46.7653168,24.5946553,1315
201,6, Government Schools,46.7682147,24.5939419,1315
202,6, Government Schools,46.7761145,24.5963683,393
203,6, Government Schools,46.8422659,24.4054948,685
204,6, Government Schools,46.6894554,24.563842,383
205,6, Government Schools,46.6999271,24.5716362,1433
206,6, Government Schools,46.7755252,24.5983507,393
207,6, Government Schools,46.7781984,24.5979054,393
208,6, Government Schools,46.7616938,24.5655672,1334
209,6, Medical Centers,46.7191042,24.6060779,1305
210,6, Training Centers,46.6238738,24.6805438,46
211,3, Shopping and Services,46.7157666,24.6381401,1249
212,3, Shopping and Services,46.6705637,24.7305919,67
213,3, Shopping and Services,46.7241116,24.6886758,1119
214,6, Training Centers,46.6503182,24.57602,163
215,3, Shopping and Services,46.6781492,24.7339404,69
216,1, Hotels and Furnished Apartments,46.7178726,24.6377664,1249
217,1, Hotels and Furnished Apartments,46.7181013,24.6379612,1261
218,5, Mosques,46.6650301,24.7504492,705
219,5, Mosques,46.6372404,24.6154773,1459
220,5, Mosques,46.7039327,24.5778712,1434
221,5, Mosques,46.6385266,24.5646529,485
222,5, Mosques,46.5839759,24.5718784,1384
223,5, Mosques,46.7218689,24.6596996,1190
224,5, Mosques,46.6210461,24.5865301,1395
225,1, Hotels and Furnished Apartments,46.7121655,24.6640983,1184
226,3, Shopping and Services,46.6650641,24.704341,31
227,5, Mosques,46.6960334,24.6884829,879
228,5, Mosques,46.60301,24.6081807,156
229,3, Shopping and Services,46.8053565,24.7687065,900
230,5, Mosques,46.709174,24.6931128,880
231,5, Mosques,46.7305882,24.6384588,296
232,3, Shopping and Services,46.6967884,24.5845513,1480
233,5, Mosques,46.6531738,24.7006307,27
234,3, Shopping and Services,46.6616827,24.7372723,68
235,5, Mosques,46.6514742,24.6839379,28
236,6, Training Centers,46.5772008,24.5770983,465
237,6, Medical Centers,46.8478417,24.6925883,982
238,3, Shopping and Services,46.6870447,24.7355311,806
239,3, Shopping and Services,46.6906194,24.6825815,875
240,6, Training Centers,46.6212,24.5954372,1076
241,5, Mosques,46.7730439,24.6828603,924
242,5, Mosques,46.6075063,24.5832635,1389
243,5, Mosques,46.728328,24.6044318,1364
244,3, Shopping and Services,46.6799544,24.7029722,843
245,6, Training Centers,46.7627975,24.762533,888
246,5, Mosques,46.728971,24.599278,340
247,5, Mosques,46.7238466,24.6039017,1484
248,5, Mosques,46.5502167,24.5876666,1370
249,3, Shopping and Services,46.7984896,24.7374403,896
250,3, Shopping and Services,46.8548921,24.6984644,985
251,3, Shopping and Services,46.7187876,24.6405137,285
252,3, Shopping and Services,46.6719884,24.7186716,75
253,2, Restaurants,46.7622338,24.7678298,890
254,2, Restaurants,46.7647899,24.7687295,890
255,2, Restaurants,46.7633199,24.7614383,130
256,6, Clinics,46.7469766,24.628852,326
257,2, Restaurants,46.7050849,24.5572193,387
258,2, Restaurants,46.803731,24.701896,962
259,3, Shopping and Services,46.7196472,24.6759392,1132
260,2, Restaurants,46.7916274,24.6830272,948
261,6, Private Schools,46.7761271,24.7098589,914
262,6, Other Educational Facilities,46.7330471,24.682214,1147
263,6, Universities and Colleges,46.7197308,24.7890376,725
264,6, Private Schools,46.7864075,24.7410017,140
265,5, Mosques,46.7215124,24.6395682,290
266,6, Clinics,46.820378,24.7652843,909
267,6, Clinics,46.8183201,24.7534023,146
268,3, Shopping and Services,46.7766777,24.6798419,263
269,3, Shopping and Services,46.7258867,24.6867949,1144
270,3, Shopping and Services,46.7840567,24.7369447,140
271,3, Shopping and Services,46.7150947,24.6376306,1249
272,6, Medical Centers,46.7709485,24.7000904,252
273,6, Clinics,46.6859435,24.7571583,754
274,5, Mosques,46.6764549,24.5798088,1411
275,5, Mosques,46.7343275,24.61931,312
276,6, Training Centers,46.6887887,24.7393479,72
277,6, Hospitals,46.6906478,24.6718381,43
278,6, Medical Centers,46.7194532,24.6256962,1348
279,6, Clinics,46.747177,24.6233639,326
280,6, Clinics,46.7231859,24.6065122,336
281,6, Clinics,46.7190742,24.6131215,318
282,3, Shopping and Services,46.6632832,24.7341407,676
283,2, Restaurants,46.7032241,24.556336,387
284,2, Restaurants,46.6834687,24.7385568,742
285,2, Restaurants,46.6991809,24.5500699,386
286,1, Hotels and Furnished Apartments,46.6547279,24.7439349,657
287,1, Hotels and Furnished Apartments,46.6539564,24.7436111,657
288,2, Restaurants,46.6269085,24.7061817,425
289,2, Restaurants,46.6542917,24.7236368,22
290,2, Restaurants,46.6361866,24.5947784,1110
291,5, Mosques,46.6932159,24.6000324,478
292,6, Training Centers,46.8146855,24.7246899,1000
293,6, Training Centers,46.7456231,24.7485538,132
294,6, Training Centers,46.754256,24.7314024,135
295,6, Clinics,46.7975568,24.6848465,951
296,2, Restaurants,46.7235408,24.7727965,759
297,2, Restaurants,46.6375261,24.6860807,27
298,3, Shopping and Services,46.6808491,24.7041853,87
299,2, Restaurants,46.6314655,24.5799473,163
300,2, Restaurants,46.6361866,24.5947789,1110
301,2, Restaurants,46.6397295,24.5968915,1110
302,4, Entertainment,46.654494,24.7515762,60
303,3, Shopping and Services,46.6681963,24.7569189,709
304,3, Shopping and Services,46.7763231,24.7337017,138
305,3, Shopping and Services,46.7661224,24.7581076,130
306,2, Restaurants,46.6473549,24.5971556,475
307,2, Restaurants,46.6522619,24.5898518,475
308,6, Private Schools,46.6981084,24.7030271,855
309,6, Government Schools,46.690523,24.6889648,877
310,6, Training Centers,46.6844664,24.6302623,189
311,2, Restaurants,46.682296,24.7843461,597
312,2, Restaurants,46.637087,24.7807931,570
313,6, Medical Centers,46.6830231,24.6764079,1025
314,6, Medical Centers,46.7380343,24.6446231,319
315,6, Clinics,46.6384636,24.6868842,27
316,5, Mosques,46.7505855,24.6799552,257
317,5, Mosques,46.7347798,24.633804,309
318,5, Mosques,46.7539019,24.6786174,257
319,5, Mosques,46.6170078,24.5953203,157
320,2, Restaurants,46.7541285,24.6914919,255
321,6, Universities and Colleges,46.732142,24.6742583,1153
322,4, Entertainment,46.7047819,24.5967465,331
323,1, Hotels and Furnished Apartments,46.7731047,24.755689,134
324,1, Hotels and Furnished Apartments,46.7617365,24.7580035,130
325,1, Hotels and Furnished Apartments,46.7349589,24.7932451,727
326,5, Factories,46.7357938,24.6460276,319
327,5, Factories,46.7370182,24.6471418,319
328,6, Clinics,46.7258844,24.7739688,759
329,6, Clinics,46.6799034,24.7468171,737
330,1, Hotels and Furnished Apartments,46.7341563,24.683503,235
331,3, Shopping and Services,46.6334096,24.5949445,1087
332,5, Mosques,46.7752508,24.6842059,924
333,3, Shopping and Services,46.6450206,24.5987182,1114
334,1, Hotels and Furnished Apartments,46.7197258,24.6702462,230
335,1, Hotels and Furnished Apartments,46.7129792,24.6856878,1048
336,3, Shopping and Services,46.7101101,24.651653,1216
337,5, Mosques,46.6941924,24.5879107,169
338,3, Shopping and Services,46.6593686,24.7363914,18
339,3, Shopping and Services,46.6722424,24.7204745,802
340,3, Shopping and Services,46.6679564,24.7194161,787
341,6, Clinics,46.6947453,24.7098819,851
342,6, Clinics,46.7673516,24.7510631,137
343,6, Clinics,46.582292,24.7398155,3
344,6, Clinics,46.6309759,24.7741938,579
345,5, Mosques,46.6767881,24.7340435,741
346,6, Training Centers,46.6304396,24.682829,46
347,5, Mosques,46.5913296,24.5800006,1376
348,6, Training Centers,46.7458763,24.748052,132
349,6, Training Centers,46.748427,24.7429775,132
350,6, Training Centers,46.5809174,24.5767889,465
351,6, Training Centers,46.8134714,24.7274541,994
352,5, Mosques,46.7288059,24.6443475,289
353,2, Restaurants,46.6946271,24.7107341,851
354,2, Restaurants,46.6983681,24.6195448,216
355,2, Restaurants,46.7078807,24.7053291,867
356,2, Restaurants,46.7864605,24.7235372,913
357,2, Restaurants,46.7779654,24.711074,914
358,2, Restaurants,46.781069,24.6971108,355
359,6, Medical Centers,46.6783405,24.7519769,754
360,6, Clinics,46.6761595,24.7370209,69
361,3, Shopping and Services,46.7423723,24.5975485,1308
362,6, Clinics,46.7739451,24.5946188,1315
363,6, Clinics,46.7746977,24.5933343,1325
